851,285,11436,278,6222,
853,193,48,187,2000,
855,526,36629,527,36054,
857,388,713,388,1041,
859,1275,79085,1263,45643,
861,823,521,801,2806,
863,31,5589,31,3104,
864,,0,60,622,
865,39,4344,44,1871,
866,123,3200,123,1303,
867,348,1000,333,48,
868,318,7712,309,16666,
869,37,1451,36,97,
876,350,121,,0,
877,2,4061,2,3060,
880,53,200,51,11000,
881,112,320,,0,
882,2,2042,2,13775,
884,2,33323,2,95700,
886,12,42224,12,38276,
887,,0,20,5,
888,4,71077,3,119388,
890,18,79929,18,121931,
892,41,134249,39,226999,
893,159,502,,0,
946,46,68,44,22,
948,113,26,110,18,
950,33,244,28,48,
952,68,394,59,69,
954,59,1992,58,24,
958,60,20,55,10,
960,162,8657,154,7314,
962,20902,27,20058,59,
970,182,166,179,1,
973,204,72,190,2008,
975,1207,21,618,6,
983,292,14,263,38,
985,9699,10,9349,819,
987,8948,214,8921,706,
989,19265,745,19070,433,
991,7499,7,3651,5,
993,,0,34408,145,
1005,58,10,56,8,
1007,132,11,75,8,
1009,,0,150,1,
1011,220,14,76,8,
1013,64,20,,0,
1015,29,99,32,3,
1017,379,29,337,19,
1019,1893,18,1042,26,
1021,255,3,,0,
1023,399,1,,0,
1025,111,1,104,1,
1027,603,6,752,11,
1029,525,3,,0,
1033,6892,39,6914,71,
1035,3318,153,2338,40,
1038,1994,7,2119,76,
1040,1844,48,1487,33,
1042,6600,6,5472,81,
1044,1294,41,1066,44,
1046,3265,45,2957,39,
1048,2105,25,1939,77,
1050,5430,29,5055,46,
1053,2392,6,2268,20,
1055,2351,8,2127,13,
1057,2785,13,2686,19,
1059,27,153,21,179,
1061,47,73,39,138,
1063,7,103,5,1108,
1065,1266,10,1242,116,
1067,299,6,112,39,
1069,440,21,400,41,
1071,1381,150,1230,41,
1073,3456,28,3442,329,
1075,401,136,371,3,
1077,999,11,967,27,
1079,37742,482,37778,2702,
1081,,0,25,2,
1083,611,2,400,5,
1085,1290,18,1200,12,
1089,,0,1645,1,
1091,4309,5,3532,268,
1093,37829,638,37789,1012,
1095,6,776,6,224,
1097,2700,10,1352,40,
1099,2371,58,2159,64,
1101,28,174,10,4,
1103,250,2,71,1,
1105,567,10,274,9,
1107,1587,12,500,1,
1109,901,5,997,28,
1111,2932,20,2630,64,
1113,29802,292,29464,611,
1115,80,697,69,763,
1117,48,8,,0,
1119,824,742,881,700,
1121,2779,389,2703,6818,
1123,9507,7280,9472,6273,
1125,3035,22,2722,14,
1127,38290,451,38263,2861,
1129,26,251,17,296,
1131,5,876,5,305,
1133,357,33,307,13,
1135,4105,21265,4076,4049,
1137,32,5,25,24,
1139,100,40,154,13,
1141,384,8,51,46,
1143,272,132,150,1,
1145,840,9,871,106,
1147,11071,176,10984,857,
1149,59735,37,58820,260,
1151,100,2,71,2,
1153,72,33,76,92,
1155,91,131,,0,
1157,134,18,50,6,
1159,752,10,768,166,
1161,1949,95,2018,343,
1163,20427,364,20392,3262,
1165,385,25,338,28,
1167,32,42,8,137,
1169,141,67,57,268,
1171,101,1,100,11,
1173,49,5,47,2,
1175,2,40,139,13,
1177,189,5,150,2,
1179,,0,420,29,
1181,718,125,700,24,
1183,1840,33,1742,24,
1185,22673,3,22520,715,
1187,304929,12,299860,8,
1189,121,4,50,1,
1191,111,6,72,153,
1193,219,8,176,3,
1195,1083,4,1050,14,
1197,945,175,855,73,
1199,3146,25,3445,660,
1201,32128,306,31908,2394,
1203,100,1,85,20,
1205,67,4,60,5,
1207,99,15,49,283,
1209,26,2,38,2,
1211,269,15,265,27,
1213,4281,26,4300,736,
1215,17302,112,17272,994,
1217,142,12,105,4,
1231,16919,3,,0,
1237,536,28,522,29,
1239,950,3,351,8,
1241,107,1,,0,
1243,843,2,319,26,
1245,1277,4,891,17,
1247,11848,37,11768,328,
1249,38519,12,36617,37,
1259,,0,957,4,
1265,38,18,36,15,
1267,280,17,145,41,
1269,379,19,224,11,
1271,1705,33,1650,34,
1273,373,57,374,537,
1275,18644,27,18628,541,
1277,62,8,60,6,
1279,166,2,60,1,
1281,93,29,,0,
1283,300,12,300,5,
1285,171,1,120,1,
1287,1064,1,850,5,
1289,12500,22,12149,195,
1293,53,1,40,35,
1295,158,25,139,15,
1297,,0,368,18,
1299,,0,612,47,
1301,1987,8,1688,171,
1303,18557,244,18627,1927,
1305,59141,125,59135,979,
1307,469,1,1114,41,
1309,48,6,29,120,
1311,333,27,,0,
1313,1003,1,841,9,
1315,1265,10,1238,17,
1317,3500,29,3568,281,
1319,37568,4840,37661,1291,
1321,45,3,,0,
1323,40,14,19,3,
1325,111,19,98,280,
1327,1677,12,1407,1,
1329,373,79,373,66,
1331,2410,13,1624,64,
1333,14935,331,14750,714,
1335,21,2,12,137,
1337,28,102,,0,
1339,249,16,127,39,
1341,,0,567,10,
1343,1000,1,656,395,
1345,2341,8,2304,10,
1347,25212,349,24584,2115,
1349,150,2,107,14,
1351,27,234,12,214,
1353,65,5,38,18,
1355,75,31,71,4,
1357,492,11,459,127,
1359,7100,284,6936,393,
1361,350,17,248,17,
1363,,0,40,37,
1365,,0,128,52,
1367,,0,479,9,
1369,,0,851,79,
1371,2144,24,2105,303,
1373,24501,28,24442,840,
1375,,0,32,9,
1377,119275,62,119209,232,
1379,69,6,41,6,
1381,1230,160,1199,36,
1383,1132,10,1121,11,
1385,730,8,701,20,
1387,1900,37,1872,64,
1389,50,6,,0,
1391,7885,22600,7870,82465,
1393,8871,2996,8804,2748,
1395,8942,1,8900,437,
1397,8849,47982,8849,53244,
1399,8847,1900,8754,6336,
1401,25076,12,25014,168,
1403,25200,66,25020,253,
1405,25144,35,25021,251,
1407,,0,25092,77,
1420,55,2,60,2,
1422,97,6,,0,
1424,101,15,61,1,
1426,100,1,,0,
1428,,0,151,50,
1430,,0,696,46,
1432,8248,147,8147,604,
1434,31596,7,29834,131,
1436,10,73880,10,14011,
1438,97,5,90,634,
1440,577,2635,536,3787,
1442,5311,12,5238,66,
1444,1000,3017,941,7282,
1446,1767,5,1762,268,
1448,3168,21,3122,68,
1452,399,15,389,117,
1454,632,7,635,35,
1456,14209,9,9900,22,
1462,815,8,800,12,
1470,924,47,840,5,
1472,1022,26,1024,9,
1474,1309,37,1003,51,
1476,7727,22,4546,85,
1478,1904,9,1414,3,
1511,51,6504,50,809,
1513,991,27802,991,93916,
1515,204,73819,202,143328,
1517,9,113454,8,83367,
1519,17,14137,18,5694,
1521,50,6672,50,112610,
1523,178,2052,177,28,
1539,14,18275,13,6432,
1540,99,21,86,67,
1550,45,40,40,3,
1552,900,3,900,2,
1573,84,21,,0,
1592,899,30,700,1,
1595,529,15,417,3,
1597,477,17,400,2,
1601,1850,9997,1842,21310,
1603,920,506,919,4820,
1605,510,8064,508,4326,
1607,311,12329,300,36385,
1609,860,123,606,367,
1611,280,274,246,148,
1613,1580,39,1571,152,
1615,11599,1948,11468,3096,
1617,2916,10555,2856,25966,
1619,1234,3933,1221,21856,
1621,594,1937,587,11073,
1623,357,8253,354,32079,
1625,473,2113,504,986,
1627,130,202,125,85,
1629,1327,960,1326,316,
1631,13103,1,13102,3739,
1635,133,479,131,2638,
1637,524,2356,518,3553,
1639,704,2711,705,1843,
1641,1027,31,1016,341,
1643,1906,413,1824,88,
1645,12064,5,11964,125,
1654,121,6388,120,8954,
1656,2771,2,579,2150,
1658,729,902,729,1022,
1660,1107,1511,1107,1577,
1662,2019,3000,1980,726,
1664,12000,401,11500,22,
1673,118,20120,114,906,
1675,456,2744,472,74,
1679,1231,5541,1088,7904,
1681,1910,2613,1885,2037,
1683,,0,11356,4,
1692,165,2016,,0,
1694,565,403,541,381,
1696,842,12,832,4181,
1698,1187,1096,1184,3726,
1700,2333,1431,2283,2445,
1702,12749,207,12707,79,
1704,13459,486,13217,5963,
1712,13971,1222,13552,359,
1714,,0,88,284,
1716,80,1,,0,
1718,454,151,,0,
1720,100,1,,0,
1722,30,1,,0,
1724,399,10,275,7,
1725,1295,1086,1288,652,
1727,581,132,555,26,
1729,1000,206,1000,448,
1731,2211,981,2200,368,
1733,55,125,46,6,
1734,6,43622,5,5173,
1735,9,14,,0,
1737,42,2,,0,
1739,182,405,175,1351,
1741,259,4639,240,5932,
1743,265,65,257,672,
1745,1578,22094,1578,19706,
1747,3466,20557,3437,38687,
1749,2360,2463,2350,23254,
1751,1751,9382,1734,24647,
1753,1386,3543,1361,39714,
1755,43,111,29,4,
1757,93,59,25,2,
1759,37,5296,36,1884,
1761,173,25044,172,37787,
1763,415,86,402,9,
1765,554,84,436,13,
1767,470,87,402,13,
